,StateName,Plan_Shorthand,Year,BenefitsPerPerson
0,Alabama,Alabama ERS,2000,12867.084071964697
1,Alabama,Alabama ERS,2001,14020.103345528609
2,Alabama,Alabama ERS,2002,14078.798165468925
3,Alabama,Alabama ERS,2003,15012.669458442757
4,Alabama,Alabama ERS,2004,15853.63957597173
5,Alabama,Alabama ERS,2005,16950.05564830273
6,Alabama,Alabama ERS,2006,18891.197918449794
7,Alabama,Alabama ERS,2007,20750.286484664644
8,Alabama,Alabama ERS,2008,21674.779273172182
9,Alabama,Alabama ERS,2009,22738.35992675909
10,Alabama,Alabama ERS,2010,23962.619291351584
11,Alabama,Alabama ERS,2011,26764.100635810486
12,Alabama,Alabama ERS,2012,28911.438988653015
13,Alabama,Alabama ERS,2013,31344.28926458749
14,Alabama,Alabama ERS,2014,34128.96261379583
15,Alabama,Alabama ERS,2015,35051.10468717737
16,Alabama,Alabama ERS,2016,33908.54474809808
17,Alabama,Alabama ERS,2017,32788.287444590125
18,Alabama,Alabama ERS,2018,32478.103810736386
19,Alabama,Alabama ERS,2019,30692.18997649888
20,Alabama,Alabama ERS,2020,28900.021505890225
21,Alabama,Alabama ERS,2021,27197.209013357548
22,Alabama,Alabama ERS,2022,22766.896132050355
25,Alabama,Alabama TRS,2000,16399.600110715917
26,Alabama,Alabama TRS,2001,19775.24625513106
27,Alabama,Alabama TRS,2002,20017.573749802807
28,Alabama,Alabama TRS,2003,21921.970528621085
29,Alabama,Alabama TRS,2004,23971.256368637965
30,Alabama,Alabama TRS,2005,26355.853785189534
31,Alabama,Alabama TRS,2006,27328.428226358414
32,Alabama,Alabama TRS,2007,31506.330372662655
33,Alabama,Alabama TRS,2008,33264.64658428415
34,Alabama,Alabama TRS,2009,33240.48010943785
35,Alabama,Alabama TRS,2010,32183.017127290645
36,Alabama,Alabama TRS,2011,36049.291644021825
37,Alabama,Alabama TRS,2012,37701.81466634647
38,Alabama,Alabama TRS,2013,40145.30358004812
39,Alabama,Alabama TRS,2014,44152.57608911876
40,Alabama,Alabama TRS,2015,46131.148998599594
41,Alabama,Alabama TRS,2016,46743.94501181725
42,Alabama,Alabama TRS,2017,44187.93940408437
43,Alabama,Alabama TRS,2018,44832.91633612009
